function,f4979,f4980,f4981,f4982,f4983,f4984,f4985,f4986,f4987,f4988,f4989,f4990,f4991,f4992,f4993,f4994,f4995,f4996,f4997,f4998,f4999,f5000,f5001,f5002,f5003,f5004,f5005,f5006,f5007,f5008,f5009,f5010,f5011,f5012,f5013,f5014,f5015,f5016,f5017,f5018,f5019,f5020,f5021,f5022,f5023,f5024,f5025,f5026,f5027,f5028,f5029,f5030,f5031,f5032,f5033,f5034,f5035,f5036,f5037,f5038,f5039,f5040,f5041,f5042,f5043,f5044,f5045,f5046,f5047,f5048,f5049,f5050,f5051,f5052,f5053,f5054,f5055,f5056,f5057,f5058
WN1n,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,16,0,0,0,0,0,12,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,9,0,4,0,32,3,0,0,0,0,4,2,0,3,8,0,3,7,22,0,11,10,11,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,47,0,0
WN1p,1,16,10,7,0,11,1,1,1,0,0,14,76,62,1,0,1,9,11,6,13,0,2,16,6,0,1,1,1,1,4,0,1,4,5,8,4,0,29,0,4,0,0,3,29,4,3,0,0,9,0,0,26,0,0,0,1,0,0,0,2,1,0,8,7,3,0,5,12,12,2,2,11,13,1,6,13,0,1,1
WN2n,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
WN2p,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
WT1n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,1,0,2,6,0,2,3,16,0,1,2,10,0,6,2,0,0,14,3,0,0,0,3,7,0,0,0,0,0,29,0,0
WT1p,8,14,3,15,0,12,7,2,6,0,0,13,52,57,2,0,11,6,3,8,2,2,3,63,11,0,5,4,8,3,1,0,1,1,0,1,0,0,26,0,14,0,0,2,27,9,3,1,0,7,0,0,59,0,0,0,10,0,0,0,6,0,0,5,28,0,0,12,8,6,0,0,1,8,14,12,1,0,8,5
WT2n,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT2p,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
time,0,0,0,0,0.337005,0,2.45931,0,2.283,0,0,0,0,0,1.02635,0,2.72691,3.27141,3.27497,0,2.80798,3.73432,0,0,0,2.52932,2.11932,1.71331,2.63092,2.02183,0,2.03203,1.15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33462,3.64958,0,0,0,1.99849,2.70724,0,0,0,0,1.87179,0,0,0,2.94879,0,0,3.96653,3.95325,2.26073,3.00352,0,3.68771,3.28118,0,2.42028,0,0,0
objective,46,84,59,71,14,40,21,18,20,50,38,117,235,211,16,84,25,36,40,48,28,39,51,149,54,37,19,18,22,17,61,29,15,48,75,76,62,79,102,56,72,95,53,56,103,65,57,57,47,71,39,43,217,60,81,71,24,29,40,96,36,20,40,59,99,51,83,58,35,33,30,34,29,34,28,52,27,141,24,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,3.70737,3.77875,2.97251,4.30428,1.06933,2.8118,2.45798,1.72975,2.544,2.79893,1.62346,2.503,3.91425,3.52909,1.48135,3.58754,2.68752,3.02018,3.17051,3.4584,2.51972,4.01235,2.85493,3.09281,3.49959,2.47943,2.17856,1.99113,2.66178,2.15051,2.76734,2.09639,1.23852,2.27144,3.43945,3.22496,3.20776,3.52007,3.10191,2.20586,3.5142,2.95207,1.35119,3.18319,2.95158,3.80636,3.15836,1.82883,1.47385,3.77325,2.29773,3.14623,3.6392,2.39451,1.98907,2.85384,3.1389,2.31745,2.3193,3.31126,1.94812,2.03306,1.66199,4.04553,3.0247,3.13613,2.38269,4.66165,4.2632,4.1393,2.43407,3.52181,2.75576,3.4047,3.15308,3.40868,2.50665,3.01566,2.33583,2.9343
objective,38,81,56,67,14,40,21,18,20,43,38,117,234,209,16,84,25,36,40,46,28,39,41,149,54,37,19,18,22,17,52,29,15,48,66,76,53,74,102,48,64,90,44,46,103,58,47,49,37,67,39,43,214,51,74,71,24,28,38,91,36,20,40,54,99,51,77,56,35,33,30,34,28,34,28,50,27,140,24,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce time,1,1,1,1,0.684844716,1,-0.000541095,1,0.10259434,1,1,1,1,1,0.30715226,1,-0.014656635,-0.083183784,-0.032947381,1,-0.1144016,0.069293556,1,1,1,-0.02012156,0.027192274,0.13952881,0.011593746,0.059836969,1,0.030700394,0.064504408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.419157168,-0.159985125,1,1,1,0.299718975,0.137519513,1,1,1,1,0.079323778,1,1,1,0.059736044,1,1,0.069588572,0.044947213,0.071214057,0.147165804,1,-0.08312333,-0.040626943,1,0.034456346,1,1,1
reduce cost,-8,-3,-3,-4,0,0,0,0,0,-7,0,0,-1,-2,0,0,0,0,0,-2,0,0,-10,0,0,0,0,0,0,0,-9,0,0,0,-9,0,-9,-5,0,-8,-8,-5,-9,-10,0,-7,-10,-8,-10,-4,0,0,-3,-9,-7,0,0,-1,-2,-5,0,0,0,-5,0,0,-6,-2,0,0,0,0,-1,0,0,-2,0,-1,0,-9
