function,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,f310,f311,f312,f313,f314,f315,f316,f317,f318,f319,f320,f321,f322,f323,f324,f325,f326,f327,f328,f329,f330,f331,f332,f333,f334,f335,f336,f337,f338,f339,f340,f341,f342,f343,f344,f345,f346,f347,f348,f349,f350,f351,f352,f353,f354,f355,f356,f357,f358,f359,f360,f361,f362,f363,f364,f365,f366,f367,f368,f369,f370,f371,f372,f373,f374,f375,f376,f377,f378,f379,f380,f381,f382,f383,f384,f385,f386,f387,f388,f389,f390,f391,f392,f393,f394,f395,f396,f397,f398,f399,f400,f401,f402,f403,f404,f405,f406,f407,f408,f409,f410,f411,f412,f413,f414,f415,f416,f417,f418,f419,f420,f421,f422,f423,f424,f425,f426,f427,f428,f429,f430,f431,f432,f433,f434,f435,f436,f437,f438,f439,f440,f441,f442,f443,f444,f445,f446,f447,f448
WC2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
WC2p,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
WD1n,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,0,2,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,1,2,2,2,0,0,2,0,2,1,1,2,0,1,1,2,0,2,0,1,0,0,2,0,0,2,0,3,0,0,3,0,0,0,0,2,1,0,0,2,3,3,2,0,0,2,0,3,0,3,2,0,0,2,0,2,1,3,0,2,0,1,0,1,0,0,0,0,0,2,1,2,2,0,1,1,1,0,0,0,0,1,1,0,1,2,2,0,0,0,1,0,0,2,0,2,3,1,0,1,0,2,1,0,0,1,2,2,1,2,0,0,1,3,0,0,3,2,0,2,0,1,2,0,2,0,0,0,2,0,2,2,1,0,1,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,2,3,1,1,0,0,2,2,0,0,2,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,2,1,0,0,0,1,1,1,2,0,1,0,2,2,0,0,0,3,1,0,2,0,2,2,0,0,0,0,0,2,3,1,1,2,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,1,1,1,3,1,2,2,1,0,0,0,0,1,0,0,0,0,1,1,1,2,2,0,0,0,2,0,0,0,1,3,1
WD1p,1,0,1,1,0,1,1,1,0,2,1,1,0,1,0,1,0,1,1,0,0,1,1,2,1,2,0,2,1,0,2,1,2,2,2,0,0,0,1,2,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,2,2,0,2,0,2,2,0,2,2,2,1,0,0,1,1,0,0,0,0,1,3,0,2,0,1,0,0,1,2,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1,2,0,0,0,0,1,0,0,0,3,2,2,2,0,0,1,0,0,0,3,2,1,0,2,1,0,1,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,2,3,0,2,0,0,0,2,0,0,0,0,1,2,1,0,1,1,1,1,2,3,2,2,0,1,1,0,1,3,2,0,1,1,1,1,1,1,0,1,2,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,3,0,1,0,0,0,0,1,1,0,0,2,2,0,0,0,1,2,2,1,0,1,2,3,2,0,1,2,0,2,1,1,1,2,0,0,1,1,0,0,3,1,1,0,0,0,0,2,0,2,0,0,2,1,1,0,0,2,0,2,0,0,3,1,2,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,0,0
WD2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WD2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WE1n,0,1,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,3,3,0,0,3,3,0,0,0,3,0,0,3,0,0,3,0,3,0,3,4,0,0,0,0,2,0,3,0,3,0,0,3,0,1,0,0,3,0,3,0,2,0,0,0,3,0,3,0,0,3,3,0,0,0,0,0,3,3,0,2,0,0,2,3,4,3,4,4,3,3,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,1,0,0,3,3,0,2,2,2,2,0,0,3,3,4,3,0,0,0,0,0,3,2,2,4,3,2,2,0,0,0,0,0,0,0,0,2,2,3,3,0,0,3,0,0,1,0,0,0,0,0,2,0,0,3,2,2,0,0,3,3,2,2,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,3,3,0,2,0,0,0,0,2,0,4,0,0,0,2,0,2,0,0,2,0,3,2,3,2,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,3,4,0,3,3,0,2,2,0,0,0,0,1,0,3,0,0,0,2,0,0,3,0,0,3,0,3,4,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,0,0,2,0,3,0,0,0,0,0,1,3,2,0,0,0,0,2,0,0,3,0,0,2,0,3,2,0,2,2,0,0,3,0,2,3,0,3,3,0,0,3,0,2,0,2,2,0,0,0,2,3,3,3,0,0,0,4,3,0,2,3,0,2,0,2,0,2,0,2,2,0,3,2,0,0
WE1p,2,0,1,1,1,1,1,2,0,2,0,1,2,2,0,3,2,1,0,0,3,2,0,0,3,3,2,0,2,2,0,4,2,0,3,0,3,0,0,3,4,3,3,0,2,0,3,0,3,2,0,1,0,3,1,0,3,0,3,0,1,1,3,0,2,0,2,1,0,0,2,2,3,2,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,4,3,3,2,2,2,2,0,2,3,0,2,0,3,3,3,0,2,1,0,0,2,0,0,0,0,4,2,0,0,0,0,3,2,3,2,2,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,0,3,2,0,3,2,1,2,4,0,1,4,0,0,0,2,2,0,0,0,0,0,4,0,2,2,2,3,0,2,1,4,2,1,3,2,2,0,1,0,0,0,3,0,2,4,1,4,0,2,0,2,2,2,0,2,0,3,2,0,1,0,0,0,0,1,2,2,1,0,0,0,2,2,0,2,4,1,4,4,3,0,0,1,0,0,4,0,0,2,2,4,2,0,1,0,3,2,1,0,2,3,0,3,2,0,3,0,0,3,4,0,3,2,2,1,2,2,3,1,0,0,1,0,3,3,0,3,0,3,3,1,1,3,0,0,0,3,2,2,3,0,2,2,0,3,4,0,1,0,0,2,0,0,3,2,0,2,0,0,2,0,0,2,2,0,2,0,2,0,0,3,1,4,0,0,0,0,2,3,2,0,0,2,0,0,2,0,3,0,2,0,1,0,0,2,0,0,3,2
WE2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WE2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1n,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0,2,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,2,0,3,2,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,3,2,0,0,0,0,4,0,0,0,1,0,2,2,3,0,0,2,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,3,0,3,0,0,0,1,0,0,2,2,0,0
WT1p,3,0,2,0,1,4,3,2,0,1,0,5,2,5,0,1,2,2,1,1,1,2,0,0,3,5,1,1,3,1,1,2,3,2,3,0,0,0,0,4,1,2,3,1,1,0,4,0,2,4,0,1,0,3,3,0,2,0,3,1,2,1,2,0,0,1,3,2,0,1,4,2,4,3,5,3,0,1,0,3,3,0,0,0,1,1,0,0,0,2,1,0,1,4,2,2,0,3,2,0,3,0,2,2,3,0,2,1,0,0,1,0,0,0,0,5,1,0,0,1,0,2,3,1,1,3,0,0,0,0,0,0,0,3,2,0,1,1,1,0,3,0,2,0,0,0,2,0,0,2,0,2,4,3,3,1,2,2,0,0,1,0,3,1,0,0,0,1,0,1,0,3,0,3,0,1,0,0,0,1,0,4,3,0,0,2,0,1,0,1,0,2,0,1,3,0,2,0,4,1,2,0,2,0,1,3,0,2,1,0,0,0,2,2,0,3,0,1,1,4,0,0,1,2,2,1,0,2,0,0,0,0,0,4,0,0,0,2,1,0,0,2,0,1,3,0,0,1,0,0,2,2,0,0,0,0,2,1,0,0,2,2,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0,2,3,0,0,0,0,1,0,2,4,0,1,1,2,0,1,1,0,2,0,0,4,3,0,4,1,2,0,1,0,2,1,1,0,1,1,1,2,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0,3,0,0,0,2
WT2n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WT2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
time,0.00298405,0.00168586,0.00292206,0.00213695,0.00229788,0.00506496,0.00364494,0.0030942,0.00513506,0.00404906,0.00379586,0.00552607,0.00516105,0.00724292,0.00472379,0.00307202,0.00400805,0.00411081,0.00348997,0.00296092,0.00474191,0.00606394,0.00521398,0.00542903,0.00629902,0.00647497,0.00458598,0.00484395,0.00340915,0.00555801,0.00317883,0.00593305,0.00428295,0.00422192,0.00450492,0.00707793,0.00397515,0.00525904,0.00429106,0.0047791,0.00550413,0.00639701,0.00482702,0.00333095,0.00699282,0.00560904,0.00395894,0.005548,0.00433707,0.00457716,0.00270414,0.00614905,0.00232315,0.00472903,0.005898,0.00624704,0.00646687,0.00504208,0.00340819,0.0035069,0.0071609,0.00331497,0.00546288,0.0036869,0.00303602,0.00477719,0.00388312,0.00653291,0.00501895,0.00438404,0.00686812,0.00385499,0.00399494,0.00553298,0.00644612,0.00377798,0.00613093,0.00619197,0.00270987,0.00553393,0.00703382,0.00465989,0.00567293,0.00452399,0.00291085,0.0028441,0.00487995,0.00318694,0.00573492,0.00440598,0.00830483,0.00321388,0.00296497,0.00559402,0.00473309,0.00328183,0.00547504,0.00511813,0.00542712,0.00454497,0.00369692,0.00601482,0.00570297,0.00457001,0.00462794,0.00307298,0.00351286,0.00448513,0.00581002,0.00532579,0.00310898,0.00602484,0.00592494,0.00271702,0.00343609,0.00406909,0.00320292,0.004915,0.0069139,0.00518799,0.00412512,0.00596309,0.00484681,0.00595093,0.00504208,0.00386214,0.00524116,0.00619793,0.0057261,0.00325203,0.00293922,0.00392914,0.00477386,0.00502706,0.00591707,0.00646281,0.006531,0.00466895,0.00693893,0.00428486,0.00621891,0.00590897,0.00410199,0.00733209,0.00466895,0.00580907,0.00775123,0.0043931,0.00513697,0.00358295,0.0024569,0.00485301,0.00562596,0.00490689,0.00475788,0.00300503,0.0053041,0.00458598,0.00320005,0.00517511,0.00470781,0.00248194,0.00403285,0.00588894,0.00299501,0.00425196,0.00536513,0.00377607,0.00363207,0.00371289,0.003052,0.00354004,0.00337601,0.00390697,0.00303102,0.00371695,0.00465608,0.00358295,0.00576019,0.00336313,0.00269008,0.00519705,0.00561213,0.00516915,0.00516295,0.00410008,0.00460601,0.00508595,0.00283885,0.00426888,0.00502491,0.00471282,0.00304103,0.00271106,0.00730395,0.00424385,0.00349593,0.00418997,0.00447893,0.00308204,0.00508904,0.00298405,0.00362396,0.00573206,0.006809,0.004493,0.00395298,0.00643301,0.00398088,0.006001,0.00313807,0.00570703,0.00516486,0.00480604,0.00351405,0.00472212,0.00235701,0.00360489,0.00290203,0.00682092,0.00351286,0.00308299,0.00567198,0.00452781,0.00433207,0.00461411,0.00289702,0.00734091,0.00651097,0.00775909,0.00412202,0.00709987,0.00492692,0.00671506,0.00399709,0.00575304,0.00337887,0.00351286,0.00321698,0.00297499,0.00546598,0.00362706,0.00521493,0.00547004,0.00554991,0.00344396,0.00789595,0.00278497,0.00283003,0.00464797,0.00527692,0.00355792,0.00372291,0.0060389,0.00500083,0.00268197,0.00472617,0.00453496,0.00510001,0.00367117,0.0035851,0.00305104,0.00163007,0.00293183,0.00507903,0.00342798,0.00218391,0.00318193,0.0032568,0.00242209,0.00448394,0.003613,0.00580716,0.00599194,0.00586486,0.00697899,0.00721884,0.00630903,0.00302005,0.00352907,0.00441813,0.00404406,0.00421405,0.00672197,0.00357389,0.00527787,0.00685787,0.00336099,0.00500298,0.00537896,0.00529194,0.00405908,0.00636697,0.003052,0.00647092,0.00520682,0.00585103,0.0043819,0.00635004,0.00296688,0.00528908,0.00639796,0.00577998,0.006248,0.00539804,0.00549197,0.00553012,0.00394392,0.00447512,0.0043571,0.00420713,0.00355315,0.00585914,0.00603509,0.00325108,0.00746489,0.00505495,0.00368905,0.00526285,0.00512695,0.00298595,0.00308299,0.00512195,0.00303793,0.00304008,0.00320101,0.00642991,0.00337291,0.00223279,0.00520802,0.00367403,0.00325084,0.00438094,0.00546312,0.00554514,0.00565982,0.0051651,0.00449014,0.00392103,0.00662804,0.00299788,0.00523782,0.00366592,0.00531793,0.00552917,0.00368905,0.0067451
objective,9,5,7,7,6,9,8,8,11,10,8,10,11,11,10,10,11,9,10,10,11,12,9,12,12,15,9,11,13,11,11,10,12,12,13,12,12,13,10,14,9,14,14,9,11,12,13,11,12,13,12,10,7,13,12,12,11,11,13,10,11,8,11,11,7,13,14,12,10,11,13,11,13,13,14,11,10,10,9,14,13,10,11,10,9,9,10,11,12,12,12,10,10,14,13,11,9,12,13,9,15,11,11,13,12,9,12,10,12,9,10,14,10,10,9,13,10,11,12,11,13,12,12,10,12,12,11,14,11,10,8,9,12,15,13,12,12,11,10,11,13,13,11,14,12,11,12,10,11,9,9,12,15,10,14,11,13,10,10,12,10,7,12,9,10,7,11,9,10,12,9,10,9,10,9,10,11,9,10,8,7,16,14,10,12,11,11,11,11,11,13,11,12,8,11,9,13,11,13,9,12,8,10,10,12,11,10,12,12,11,12,13,13,13,11,12,8,11,9,12,10,10,10,10,11,11,8,13,15,13,10,12,11,12,10,11,9,9,10,9,13,10,12,11,11,8,11,9,9,10,13,11,12,11,11,9,11,9,12,10,11,13,5,10,11,11,6,10,9,8,12,11,14,11,12,14,12,12,10,8,9,11,12,12,11,10,11,10,11,12,14,10,10,11,12,10,15,10,15,8,12,11,13,16,12,11,13,11,10,10,13,12,14,15,7,10,9,10,10,10,10,8,11,10,8,11,12,10,8,13,10,8,9,12,14,12,13,12,10,11,8,10,10,13,11,9,11
